,cik_str,ticker
0,789019,MSFT
1,1045810,NVDA
2,320193,AAPL
3,1018724,AMZN
4,1652044,GOOGL
5,1326801,META
6,1318605,TSLA
7,1730168,AVGO
8,1067983,BRK-B
9,104169,WMT
10,19617,JPM
11,1403161,V
12,59478,LLY
13,884394,SPY
14,1141391,MA
15,1065280,NFLX
16,1341439,ORCL
17,909832,COST
18,34088,XOM
19,80424,PG
20,200406,JNJ
21,354950,HD
22,1000184,SAP
23,70858,BAC
24,1551152,ABBV
25,353278,NVO
26,21344,KO
27,937966,ASML
28,1321655,PLTR
29,1577552,BABA
30,2008670,RCIT
31,1413329,PM
32,1283699,TMUS
33,731766,UNH
34,1108524,CRM
35,40545,GE
36,858877,CSCO
37,51143,IBM
38,72971,WFC
39,1094517,TM
40,93410,CVX
41,1800,ABT
42,63908,MCD
43,1114448,NVS
44,901832,AZN
45,1707925,LIN
46,1373715,NOW
47,896878,INTU
48,4962,AXP
49,1089113,HSBC
50,895421,MS
51,1067839,QQQ
52,1744489,DIS
53,732717,T
54,1035267,ISRG
55,1467373,ACN
56,1306965,SHEL
57,310158,MRK
58,1144967,HDB
59,886982,GS
60,1061736,FMX
61,1543151,UBER
62,2488,AMD
63,1000275,RY
64,732712,VZ
65,77476,PEP
66,1075531,BKNG
67,101829,RTX
68,796343,ADBE
69,1393818,BX
70,97476,TXN
71,18230,CAT
72,804328,QCOM
73,80661,PGR
74,316709,SCHW
75,313838,SONY
76,67088,MUFG
77,64040,SPGI
78,217410,UL
79,885725,BSX
80,12927,BA
81,97745,TMO
82,2012383,BLK
83,318154,AMGN
84,310764,SYK
85,1973239,ARM
86,773840,HON
87,109198,TJX
88,1594805,SHOP
89,831001,C
90,1737806,PDD
91,753308,NEE
92,315189,DE
93,1639920,SPOT
94,313616,DHR
95,1668717,BUD
96,882095,GILD
97,100885,UNP
98,1996810,GEV
99,78003,PFE
100,8670,ADP
101,1751008,APP
102,6951,AMAT
103,1166691,CMCSA
104,879764,TTE
105,1099590,MELI
106,1551182,ETN
107,1121404,SNY
108,60667,LOW
109,47710,HTHIY
110,811809,BHP
111,1327567,PANW
112,927628,COF
113,1103838,IBN
114,887028,RTNTF
115,947263,TD
116,891478,SAN
117,1535527,CRWD
118,1596532,ANET
119,896159,CB
120,875320,VRTX
121,62709,MMC
122,1404912,KKR
123,948401,CFRUY
124,936468,LMT
125,723125,MU
126,707549,LRCX
127,6281,ADI
128,1163165,COP
129,820313,APH
130,319201,KLAC
131,1613103,MDT
132,1156375,CME
133,1571949,ICE
134,1610520,UBS
135,1050446,MSTR
136,929869,RELX
137,764180,MO
138,1045609,PLD
139,895728,ENB
140,1053507,AMT
141,766704,WELL
142,1303523,BTI
143,863064,RIO
144,310732,BNPQY
145,1703399,SE
146,1022837,SMFG
147,1868275,CEG
148,92122,SO
149,1466258,TT
150,829224,SBUX
151,823768,WM
152,14272,BMY
153,1937926,BAM
154,860730,HCA
155,723254,CTAS
156,320187,NKE
157,1001085,BN
158,927653,MCK
159,1075124,TRI
160,1381197,IBKR
161,89800,SHW
162,50863,INTC
163,1326160,DUK
164,798354,FI
165,1792789,DASH
166,354190,AJG
167,1059556,MCO
168,842180,BBVA
169,1103982,MDLZ
170,1101239,EQIX
171,1156039,ELV
172,76334,PH
173,1648416,RACE
174,813672,CDNS
175,1739940,CI
176,1260221,TDG
177,1090727,UPS
178,1262039,FTNT
179,66740,MMM
180,1559720,ABNB
181,1060391,RSG
182,1131399,GSK
183,1222333,GLD
184,64803,CVS
185,1110646,NTES
186,927971,BMO
187,315293,AON
188,1571996,DELL
189,898173,ORLY
190,883241,SNPS
191,895564,BAESY
192,1067491,INFY
193,16875,CP
194,1858681,APO
195,313807,BP
196,21665,CL
197,31462,ECL
198,1001838,SCCO
199,107263,WMB
200,1555280,ZTS
201,40533,GD
202,1119639,PBR
203,1048286,MAR
204,49826,ITW
205,1004315,NGG
206,68505,MSI
207,1633917,PYPL
208,1335730,MFG
209,713676,PNC
210,4281,HWM
211,884887,RCL
212,1133421,NOC
213,1640147,SNOW
214,1061219,EPD
215,36104,USB
216,32604,EMR
217,1058090,CMG
218,1132597,ITUB
219,16868,CNI
220,833444,JCI
221,1679788,COIN
222,1140625,EQNR
223,9631,BNS
224,1017413,CNQ
225,1045520,CM
226,769397,ADSK
227,1390777,BK
228,872589,REGN
229,1327811,WDAY
230,1039765,ING
231,866787,AZO
232,312069,BCS
233,849395,CRH
234,1160106,LYG
235,1506307,KMI
236,865752,MNST
237,86312,TRV
238,882835,ROP
239,1783180,CARR
240,1276187,ET
241,2969,APD
242,1063761,SPG
243,1278680,IAU
244,821189,EOG
245,835403,DEO
246,1585689,HLT
247,2809,AEM
248,277948,CSX
249,1588489,GBTC
250,1164727,NEM
251,1691493,NU
252,1890126,UNVGY
253,1069183,AXON
254,1297996,DLR
255,1315098,RBLX
256,1783879,HOOD
257,844150,NWG
258,723531,PAYX
259,1769628,CRWV
260,1091667,CHTR
261,1477333,NET
262,1835632,MRVL
263,1140859,COR
264,831259,FCX
265,1650372,TEAM
266,1446250,BMWKY
267,4977,AFL
268,1692819,VST
269,702165,NSC
270,1086888,MFC
271,899051,ALL
272,4904,AEP
273,1176948,ARES
274,1159508,DB
275,1393311,PSA
276,1129137,AMX
277,1099219,MET
278,1232384,TRP
279,1048911,FDX
280,277135,GWW
281,1547873,PTCAY
282,1552000,MPLX
283,92230,TFC
284,3570,LNG
285,1834584,CPNG
