,date,accountspayable,accountsreceivable,accumulatedothercomprehensiveincome,cashandcashequivalents,commonstock,inventory,other,othercurrentassets,othercurrentliabilities,propertyplantequipmentnet,retainedearnings,shortterminvestments,totalassets,totalcurrentassets,totalcurrentliabilities,totalequity,totalliabilities,totalliabilitiesandequity,ticker,additionalpaidincapital,deferredincometaxes,goodwill,intangibleassetsnet,longtermdebt,noncontrollinginterest,othernoncurrentassets,prepaidexpenses,shorttermdebt,accruedexpenses,deferredtaxassetsnoncurrent,preferredstock,treasurystock,othernoncurrentliabilities,longterminvestments
0,2024-12-28,6.191e+16,2.9639e+16,-6789000000.0,3.0299e+16,1.14849462e+17,6911000000000000.0,1.12858e+17,1.3248e+16,6.1151e+16,4.6069e+16,0.0,8.7593e+16,3.44085e+17,2.88028e+17,1.81968e+17,6.6758e+16,2.77327e+17,3.44085e+17,AAPL,,,,,,,,,,,,,,,
1,2024-06-29,4.7574e+16,2.2795e+16,-8416000000.0,2.5565e+16,1.10294518e+17,6165000000000000.0,1.12894e+17,1.4297e+16,6.0889e+16,4.4502e+16,0.0,9.124e+16,3.31612e+17,2.76612e+17,1.80364e+17,6.6708e+16,2.64904e+17,3.31612e+17,AAPL,,,,,,,,,,,,,,,
2,2024-03-30,4.5753e+16,2.1837e+16,-8960000000.0,3.2695e+16,7.8815e+16,6232000000000000.0,1.21153e+17,1.3884e+16,5.7298e+16,4.3546e+16,4339000000000000.0,9.5187e+16,3.37411e+17,2.79257e+17,1.86959e+17,7.4194e+16,2.63217e+17,3.37411e+17,AAPL,,,,,,,,,,,,,,,
3,2023-12-30,5.8146e+16,2.3194e+16,-9378000000.0,4.076e+16,7.5236e+16,6511000000000000.0,1.32258e+17,1.3979e+16,5.4611e+16,4.3666e+16,8242000000000000.0,9.9475e+16,3.53514e+17,2.76503e+17,1.95794e+17,7.41e+16,2.79414e+17,3.53514e+17,AAPL,,,,,,,,,,,,,,,
4,2023-07-01,4.6699e+16,1.9549e+16,-11801000000.0,2.8408e+16,7.0667e+16,7351000000000000.0,1.29859e+17,1.364e+16,5.8897e+16,4.355e+16,1408000000000000.0,1.04061e+17,3.35038e+17,2.77147e+17,2.01531e+17,6.0274e+16,2.74764e+17,3.35038e+17,AAPL,,,,,,,,,,,,,,,
5,2023-04-01,4.2945e+16,1.7936e+16,-11746000000.0,2.4687e+16,6.9568e+16,7482000000000000.0,1.25131e+17,1.366e+16,5.6425e+16,4.3398e+16,4336000000000000.0,1.10461e+17,3.3216e+17,2.84635e+17,2.02813e+17,6.2158e+16,2.70002e+17,3.3216e+17,AAPL,,,,,,,,,,,,,,,
6,2022-12-31,5.7918e+16,2.3752e+16,-12912000000.0,2.0535e+16,6.6399e+16,6820000000000000.0,1.3979e+17,1.6422e+16,5.9893e+16,4.2951e+16,3240000000000000.0,1.14095e+17,3.46747e+17,2.78894e+17,2.05841e+17,5.6727e+16,2.9002e+17,3.46747e+17,AAPL,,,,,,,,,,,,,,,
7,2024-09-30,3.0492e+16,1.1472e+16,-2334000000.0,7257000000000000.0,-7830000000.0,4450000000000000.0,-4697000000.0,,,5141000000000000.0,0.0,28000000.0,1.43422e+17,2.7785e+16,4.3062e+16,1.2103e+16,1.76453e+17,,ABBV,2.116e+16,2749000000000000.0,3.5295e+16,6.6646e+16,5.8509e+16,39000000.0,8288000000000000.0,4578000000000000.0,1.257e+16,,,,,,
8,2024-06-30,2.9329e+16,1.1724e+16,-2513000000.0,1.313e+16,-7820000000.0,4218000000000000.0,-3496000000.0,,,5023000000000000.0,0.0,27000000.0,1.41937e+17,3.3816e+16,4.1915e+16,1.3599e+16,1.74364e+17,,ABBV,2.0879e+16,2726000000000000.0,3.3386e+16,6.0243e+16,5.8048e+16,43000000.0,9197000000000000.0,4717000000000000.0,1.2586e+16,,,,,,
9,2024-03-31,3.1326e+16,1.1949e+16,-2454000000.0,1.8067e+16,-7811000000.0,4245000000000000.0,-2079000000.0,,,4980000000000000.0,0.0,2000000.0,1.48874e+17,3.8871e+16,4.1522e+16,1.6054e+16,1.81652e+17,,ABBV,2.0656e+16,2722000000000000.0,3.3426e+16,6.2225e+16,6.3805e+16,40000000.0,9067000000000000.0,4608000000000000.0,1.0196e+16,,,,,,
