,date,changeinaccountspayable,changeinaccountsreceivable,changeininventory,depreciationamortization,other,stockbasedcompensation,ticker,deferredincometaxes,dividendspaid,effectofexchangeratechangesoncash,proceedsfromissuanceofdebt,repaymentsofdebt,capitalexpenditures,changeinaccruedexpenses,netcashprovidedbyfinancingactivities,netcashprovidedbyinvestingactivities,netcashprovidedbyoperatingactivities,netincreasedecreaseincash,repurchaseofstock,proceedsfromissuanceofstock
0,2024-12-28,-6671000000.0,3597000000.0,215000000.0,3080000000.0,1.8824e+16,3286000000.0,AAPL,,,,,,,,,,,,,
1,2024-06-29,0.0,0.0,0.0,0.0,2.1448e+16,0.0,AAPL,,,,,,,,,,,,,
2,2024-03-30,0.0,0.0,0.0,0.0,2.3636e+16,0.0,AAPL,,,,,,,,,,,,,
3,2023-12-30,-4542000000.0,6555000000.0,-137000000.0,2848000000.0,3.4518e+16,2997000000.0,AAPL,,,,,,,,,,,,,
4,2023-07-01,0.0,0.0,0.0,0.0,1.9881e+16,0.0,AAPL,,,,,,,,,,,,,
5,2023-04-01,0.0,0.0,0.0,0.0,2.416e+16,0.0,AAPL,,,,,,,,,,,,,
6,2022-12-31,-6075000000.0,4275000000.0,-1807000000.0,2916000000.0,-9234000000000000.0,2905000000.0,AAPL,,,,,,,,,,,,,
7,2024-09-30,0.0,0.0,0.0,2091000000000000.0,3346000000000000.0,0.0,ABBV,0.0,0.0,0.0,0.0,0.0,,,,,,,,
8,2024-06-30,0.0,0.0,0.0,2084000000000000.0,-990000000000000.0,0.0,ABBV,0.0,0.0,0.0,0.0,0.0,,,,,,,,
9,2024-03-31,362000000.0,-702000000.0,-75000000.0,2074000000000000.0,2140000000000000.0,348000000.0,ABBV,-389000000.0,-2772000000.0,-18000000.0,14963000000.0,-103000000.0,,,,,,,,
10,2023-09-30,0.0,0.0,0.0,2196000000000000.0,1847000000000000.0,0.0,ABBV,0.0,0.0,0.0,0.0,0.0,,,,,,,,
11,2023-06-30,0.0,0.0,0.0,2290000000000000.0,2307000000000000.0,0.0,ABBV,0.0,0.0,0.0,0.0,0.0,,,,,,,,
12,2023-03-31,-465000000.0,-195000000.0,-185000000.0,2127000000000000.0,-4700000000000000.0,313000000.0,ABBV,-267000000.0,-2661000000.0,8000000.0,0.0,-1351000000.0,,,,,,,,
13,2022-09-30,0.0,0.0,0.0,2181000000000000.0,4762000000000000.0,0.0,ABBV,0.0,0.0,0.0,0.0,0.0,,,,,,,,
