,date,costofrevenue,epsbasic,epsdiluted,grossprofit,netincome,operatingincome,other,researchanddevelopment,sga,sharesoutstandingbasic,sharesoutstandingdiluted,taxexpensecredit,totalrevenue,ticker,interestexpense,interestincome,nonrecurringitems,depreciationamortization,minorityinterest,incometaxexpense
0,2024-12-28,-81468000000.0,2410.0,2400.0,5.8275e+16,3.633e+16,4.2832e+16,-248000000.0,8268000000000000.0,7175000000000000.0,1.5081724e+16,1.5150865e+16,3.633e+16,1.243e+17,AAPL,,,,,,
1,2024-06-29,-60425000000.0,1400.0,1400.0,3.9678e+16,2.1448e+16,2.5352e+16,142000000.0,8006000000000000.0,6320000000000000.0,1.5287521e+16,1.5348175e+16,2.1448e+16,8.5777e+16,AAPL,,,,,,
2,2024-03-30,-62853000000.0,1530.0,1530.0,4.2271e+16,2.3636e+16,2.79e+16,158000000.0,7903000000000000.0,6468000000000000.0,1.5405856e+16,1.5464709e+16,2.3636e+16,9.0753e+16,AAPL,,,,,,
3,2023-12-30,-79202000000.0,2190.0,2180.0,5.4855e+16,3.3916e+16,4.0373e+16,-50000000.0,7696000000000000.0,6786000000000000.0,1.5509763e+16,1.5576641e+16,3.3916e+16,1.19575e+17,AAPL,,,,,,
4,2023-07-01,-58799000000.0,1270.0,1260.0,3.6413e+16,1.9881e+16,2.2998e+16,-265000000.0,7442000000000000.0,5973000000000000.0,1.5697614e+16,1.5775021e+16,1.9881e+16,8.1797e+16,AAPL,,,,,,
5,2023-04-01,-66518000000.0,1530.0,1520.0,4.1976e+16,2.416e+16,2.8318e+16,64000000.0,7457000000000000.0,6201000000000000.0,1.5787154e+16,1.584705e+16,2.416e+16,9.4836e+16,AAPL,,,,,,
6,2022-12-31,-81138000000.0,1890.0,1880.0,5.0332e+16,2.9998e+16,3.6016e+16,-393000000.0,7709000000000000.0,6607000000000000.0,1.5892723e+16,1.5955718e+16,2.9998e+16,1.17154e+17,AAPL,,,,,,
7,2024-09-30,-14841000000.0,880.0,880.0,,1558000000000000.0,3831000000000000.0,-1074000000.0,2130000000000000.0,4205000000000000.0,1769000000000000.0,1772000000000000.0,1564000000000000.0,1.446e+16,ABBV,-591000000.0,,,,,
8,2024-06-30,-14666000000.0,770.0,770.0,,1367000000000000.0,3998000000000000.0,-409000000.0,1948000000000000.0,3377000000000000.0,1768000000000000.0,1771000000000000.0,1373000000000000.0,1.4462e+16,ABBV,-506000000.0,,,,,
9,2024-03-31,-13606000000.0,770.0,770.0,,1366000000000000.0,2798000000000000.0,-426000000.0,1939000000000000.0,3315000000000000.0,1769000000000000.0,1773000000000000.0,1372000000000000.0,1.231e+16,ABBV,-453000000.0,,,,,
10,2023-09-30,-18131000000.0,1000.0,1000.0,,1775000000000000.0,2281000000000000.0,136000000.0,1723000000000000.0,3372000000000000.0,1767000000000000.0,1771000000000000.0,1781000000000000.0,1.3927e+16,ABBV,-398000000.0,,,,,
11,2023-06-30,-13592000000.0,1140.0,1140.0,,2021000000000000.0,4344000000000000.0,-1169000000.0,1733000000000000.0,3268000000000000.0,1767000000000000.0,1771000000000000.0,2027000000000000.0,1.3865e+16,ABBV,-454000000.0,,,,,
